/shangwu_gongzuo_chuchai-014	load:0.006	watermark:0.008	recognition:0.676	encrypt:1.146	compress:1.182	writeFileSync:1.183	end:1.183	1.184
/shangwu_gongzuo_chuchai-015	load:0.005	watermark:0.008	recognition:0.621	encrypt:1.154	compress:1.193	writeFileSync:1.193	end:1.193	1.194
/shangwu_gongzuo_chuchai-016	load:0.006	watermark:0.008	recognition:0.748	encrypt:1.263	compress:1.3	writeFileSync:1.301	end:1.301	1.302
/shangwu_gongzuo_chuchai-017	load:0.005	watermark:0.007	recognition:0.695	encrypt:1.405	compress:1.452	writeFileSync:1.454	end:1.454	1.456
/shangwu_gongzuo_chuchai-018	load:0.006	watermark:0.008	recognition:0.761	encrypt:1.148	compress:1.178	writeFileSync:1.178	end:1.178	1.180
/shangwu_gongzuo_chuchai-019	load:0.006	watermark:0.009	recognition:0.733	encrypt:1.164	compress:1.195	writeFileSync:1.195	end:1.195	1.199
/shangwu_gongzuo_chuchai-020	load:0.007	watermark:0.009	recognition:0.749	encrypt:1.406	compress:1.456	writeFileSync:1.456	end:1.456	1.457
/shangwu_gongzuo_chuchai-021	load:0.006	watermark:0.008	recognition:1.097	encrypt:1.563	compress:1.598	writeFileSync:1.6	end:1.6	1.601
/shangwu_gongzuo_chuchai-022	load:0.006	watermark:0.009	recognition:0.876	encrypt:1.425	compress:1.472	writeFileSync:1.473	end:1.473	1.474
/shangwu_gongzuo_chuchai-023	load:0.006	watermark:0.008	recognition:0.844	encrypt:1.419	compress:1.463	writeFileSync:1.463	end:1.464	1.465
/shangwu_gongzuo_chuchai-024	load:0.006	watermark:0.008	recognition:0.835	encrypt:1.394	compress:1.437	writeFileSync:1.438	end:1.438	1.439
/shangwu_gongzuo_chuchai-025	load:0.006	watermark:0.009	recognition:0.622	encrypt:1.235	compress:1.28	writeFileSync:1.281	end:1.281	1.282
/shangwu_gongzuo_chuchai-026	load:0.006	watermark:0.009	recognition:0.669	encrypt:1.208	compress:1.248	writeFileSync:1.248	end:1.249	1.252
/shangwu_gongzuo_chuchai-027	load:0.005	watermark:0.007	recognition:0.613	encrypt:1.042	compress:1.075	writeFileSync:1.076	end:1.076	1.078
/shangwu_gongzuo_chuchai-028	load:0.005	watermark:0.008	recognition:0.487	encrypt:0.867	compress:0.896	writeFileSync:0.897	end:0.897	0.898
/shangwu_gongzuo_chuchai-029	load:0.006	watermark:0.008	recognition:0.819	encrypt:1.395	compress:1.439	writeFileSync:1.44	end:1.44	1.441
/shangwu_gongzuo_chuchai-030	load:0.006	watermark:0.008	recognition:0.808	encrypt:1.421	compress:1.464	writeFileSync:1.465	end:1.465	1.465
/shangwu_gongzuo_chuchai-031	load:0.006	watermark:0.008	recognition:0.69	encrypt:1.148	compress:1.18	writeFileSync:1.181	end:1.181	1.181
/shangwu_gongzuo_chuchai-032	load:0.005	watermark:0.007	recognition:0.78	encrypt:1.412	compress:1.461	writeFileSync:1.462	end:1.462	1.463
/shangwu_gongzuo_chuchai-033	load:0.007	watermark:0.01	recognition:1.05	encrypt:1.381	compress:1.407	writeFileSync:1.408	end:1.408	1.409
/shangwu_gongzuo_chuchai-034	load:0.006	watermark:0.008	recognition:1.042	encrypt:1.715	compress:1.763	writeFileSync:1.764	end:1.764	1.765
/xiaoyuan_shenghuo-001	load:0.007	watermark:0.009	recognition:0.95	encrypt:1.152	compress:1.17	writeFileSync:1.171	end:1.171	1.175
/xiaoyuan_shenghuo-002	load:0.007	watermark:0.009	recognition:1.372	encrypt:1.611	compress:1.635	writeFileSync:1.636	end:1.636	1.637
/xiaoyuan_shenghuo-003	load:0.007	watermark:0.009	recognition:0.739	encrypt:0.866	compress:0.879	writeFileSync:0.88	end:0.88	0.881
/xiaoyuan_shenghuo-004	load:0.007	watermark:0.008	recognition:0.77	encrypt:0.91	compress:0.924	writeFileSync:0.925	end:0.925	0.925
/xiaoyuan_shenghuo-005	load:0.008	watermark:0.01	recognition:1.229	encrypt:1.489	compress:1.511	writeFileSync:1.512	end:1.512	1.512
/xiaoyuan_shenghuo-006	load:0.007	watermark:0.009	recognition:0.876	encrypt:1.055	compress:1.074	writeFileSync:1.074	end:1.074	1.075
/xiaoyuan_shenghuo-007	load:0.007	watermark:0.009	recognition:1.154	encrypt:1.396	compress:1.419	writeFileSync:1.419	end:1.419	1.420
/xiaoyuan_shenghuo-008	load:0.007	watermark:0.009	recognition:1.455	encrypt:1.626	compress:1.642	writeFileSync:1.643	end:1.643	1.644
/xiaoyuan_shenghuo-009	load:0.007	watermark:0.008	recognition:0.958	encrypt:1.147	compress:1.163	writeFileSync:1.164	end:1.164	1.165
/xiaoyuan_shenghuo-010	load:0.007	watermark:0.009	recognition:0.903	encrypt:1.07	compress:1.086	writeFileSync:1.086	end:1.086	1.087
/xiaoyuan_shenghuo-011	load:0.008	watermark:0.01	recognition:1.05	encrypt:1.265	compress:1.286	writeFileSync:1.286	end:1.286	1.287
/xiaoyuan_shenghuo-012	load:0.007	watermark:0.008	recognition:0.915	encrypt:1.086	compress:1.103	writeFileSync:1.103	end:1.103	1.104
/xiaoyuan_shenghuo-013	load:0.007	watermark:0.008	recognition:1.139	encrypt:1.28	compress:1.294	writeFileSync:1.295	end:1.295	1.296
/xiaoyuan_shenghuo-014	load:0.007	watermark:0.009	recognition:0.871	encrypt:1.034	compress:1.05	writeFileSync:1.05	end:1.051	1.051
/xiaoyuan_shenghuo-015	load:0.008	watermark:0.009	recognition:0.938	encrypt:1.116	compress:1.134	writeFileSync:1.134	end:1.134	1.135
/xiaoyuan_shenghuo-016	load:0.007	watermark:0.008	recognition:0.842	encrypt:0.996	compress:1.01	writeFileSync:1.011	end:1.011	1.012
/xiaoyuan_shenghuo-017	load:0.008	watermark:0.009	recognition:0.949	encrypt:1.124	compress:1.14	writeFileSync:1.14	end:1.14	1.141
/xiaoyuan_shenghuo-018	load:0.007	watermark:0.008	recognition:0.836	encrypt:0.991	compress:1.004	writeFileSync:1.004	end:1.005	1.006
/xiaoyuan_shenghuo	load:0.007	watermark:0.009	recognition:0.959	encrypt:1.168	compress:1.187	writeFileSync:1.188	end:1.188	1.189
/xiaoyuan_shenghuo-016	load:0.007	watermark:0.008	recognition:0.823	encrypt:0.975	compress:0.99	writeFileSync:0.99	end:0.99	0.991
/xiaoyuan_shenghuo-017	load:0.007	watermark:0.009	recognition:0.949	encrypt:1.134	compress:1.151	writeFileSync:1.151	end:1.151	1.152
/xiaoyuan_shenghuo-018	load:0.006	watermark:0.008	recognition:0.837	encrypt:0.964	compress:0.977	writeFileSync:0.978	end:0.978	0.980
/xiaoyuan_shenghuo	load:0.008	watermark:0.009	recognition:0.985	encrypt:1.194	compress:1.213	writeFileSync:1.213	end:1.213	1.218
